,Id,Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Total_spend,Age,Tenure,Total_dependencies,Total_spend_cluster,Income and Expenditure cluster
1,1,Graduation,Single,0.514846696495588,0,1,7,3,7,5,0.13444973382531183,63,10,0,2,2
2,10476,Graduation,Married,1.05405362149124,0,1,3,2,5,2,-0.48334035402853776,66,10,1,0,2
3,1386,Graduation,Together,-0.789561408124888,0,1,1,0,2,7,-0.9381551426325988,57,10,2,0,1
4,5371,Graduation,Single,-1.3724305290910996,0,2,3,1,2,7,-0.7865502130979117,35,10,1,0,1
5,7348,PhD,Single,1.288472984323469,0,1,4,7,5,2,1.2999126296232184,66,10,0,1,0
6,4073,2n Cycle,Married,0.8578386801332506,0,1,10,10,7,6,1.3434990468644408,70,10,0,1,0
7,1991,Graduation,Together,-0.12948862268160607,0,1,2,1,3,5,-0.7770749050019938,57,10,1,0,2
8,4047,PhD,Married,0.9510977394878445,0,3,6,2,9,4,0.07191270039225343,70,10,1,2,2
9,9477,PhD,Married,0.9510977394878445,0,3,6,2,9,4,0.07191270039225343,70,10,1,2,2
11,5642,Master,Together,0.8014063516033402,0,2,3,1,6,4,-0.5382971409848618,45,11,1,0,2
12,10530,PhD,Widow,1.0815544463804638,0,1,3,6,6,1,1.2316904113326093,65,11,0,1,0
13,2964,Graduation,Married,-1.0864007550024077,0,1,1,1,2,6,-0.8225563838623999,43,11,0,0,1
14,10311,Graduation,Married,-2.2756657141811036,0,0,25,0,0,1,-0.27867369915671025,55,11,1,0,1
15,837,Graduation,Married,0.3939278479460521,0,4,2,1,5,4,-0.629260098705674,47,11,2,0,2
16,10521,Graduation,Married,0.3939278479460521,0,4,2,1,5,4,-0.629260098705674,47,11,2,0,2
17,10175,PhD,Divorced,-0.8055108267985996,0,1,1,0,3,4,-0.9173094648215793,66,11,1,0,1
18,1473,2n Cycle,Single,0.0237529680306016,0,2,2,0,3,8,-0.8225563838623999,64,11,1,0,2
19,2795,Master,Single,-0.8929411949435314,0,1,1,0,2,7,-0.9343650193942316,66,11,3,0,1
20,2285,Master,Together,-0.5691309041958478,0,3,5,2,5,7,-0.32415517801711635,70,11,1,0,1
21,115,Master,Single,-0.2076460729929845,0,3,5,1,8,5,-0.2142416041044683,58,11,1,0,2
22,10470,Master,Married,-0.3556948297184023,0,2,2,1,3,4,-0.7846551514787282,45,11,1,0,1
23,4065,PhD,Married,0.11494549141086073,0,2,5,1,8,7,-0.19339592629344884,48,11,1,0,2
24,10968,Graduation,Single,0.5487590817154403,0,4,8,8,6,6,0.3751225594616274,55,12,1,2,2
25,5985,Master,Single,-0.7527876654021105,0,3,2,1,4,7,-0.7278033029032206,59,12,1,0,1
26,5430,Graduation,Together,0.37490511936179116,0,12,9,2,8,8,0.3372213270779557,68,12,2,2,2
27,8432,Graduation,Together,0.37490511936179116,0,12,9,2,8,8,0.3372213270779557,68,12,2,2,2
28,453,PhD,Widow,-0.6376975080622367,1,2,2,0,3,5,-0.8737230475803568,68,10,2,0,1
29,9687,Graduation,Single,1.3668423870424715,1,1,5,4,6,2,0.4168139150836664,49,10,0,2,0
30,8890,PhD,Divorced,0.9767439808103578,1,3,5,1,5,6,-0.4435440600256824,53,10,2,0,2
31,9264,Graduation,Married,1.703793727062848,1,1,4,8,9,2,2.1451101117790983,38,10,0,1,0
32,5824,PhD,Together,-0.6780744417146234,1,1,1,0,2,6,-0.9438403274901496,52,10,3,0,1
33,5794,PhD,Married,-0.053026791631220295,1,3,7,1,7,8,-0.11380333828773816,50,10,1,0,2
34,3068,Graduation,Married,-1.5379123713435978,1,1,2,0,3,7,-0.8775131708187239,34,11,0,0,1
36,2681,2n Cycle,Married,0.9535351921755214,1,1,2,3,13,1,-0.08537741399998434,40,11,0,0,2
37,10141,Master,Divorced,-0.43167976785163387,1,1,0,0,3,4,-0.9210995880599465,64,11,0,0,1
39,3767,Graduation,Married,0.7386154508447074,1,2,5,5,12,3,0.951221291693438,56,11,1,2,0
40,5585,Graduation,Single,-1.3785241608102918,1,2,2,0,3,8,-0.868037862722806,52,11,1,0,1
